name,smiles,name_id,count
"LL-2,6-Diaminoheptanedioate",N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O,26dap_LL_c,13
2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(N)n1,2mahmp_c,18
4-Aminobutanoate,NCCCC(=O)[O-],4abut_c,7
Cis-2-Methylaconitate,C/C(C(=O)[O-])=C(\CC(=O)[O-])C(=O)[O-],2mcacn_c,13
2-Methylcitrate,C[C@H](C(=O)O)[C@](O)(CC(=O)O)C(=O)O,2mcit_c,14
2-C-methyl-D-erythritol 4-phosphate,C[C@](O)(CO)[C@H](O)COP(=O)([O-])[O-],2me4p_c,13
5-Methylthio-5-deoxy-D-ribulose 1-phosphate,CSC[C@@H](O)[C@@H](O)C(=O)COP(=O)(O)O,5mdru1p_c,15
4-Aminobutanal,NCCCC=O,4abutn_c,6
4-Aminobenzoate,Nc1ccc(C(=O)O)cc1,4abz_c,10
4-amino-4-deoxychorismate,C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1N)C(=O)O,4adcho_c,16
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",C[C@@]1(CO)OP(=O)([O-])OP(=O)([O-])OC[C@H]1O,2mecdp_c,16
2-Oxobutanoate,CCC(=O)C(=O)O,2obut_c,7
5-Methyltetrahydrofolate,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,5mthf_c,33
2-Octaprenyl-6-hydroxyphenol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O,2ohph_c,48
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C[C@](O)(CO)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,4c2me_c,33
4-Hydroxy-2-oxopentanoate,CC(O)CC(=O)C(=O)[O-],4h2opntn_c,9
5-Methylthio-D-ribose,CSC[C@@H](O)[C@@H](O)[C@@H](O)C=O,5mtr_c,11
"2-Octaprenyl-6-methoxy-1,4-benzoquinol",COc1cc(O)cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,2ombzl_c,50
"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",Cc1cc2ncn([C@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2cc1C,5prdmbz_c,24
"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol",COc1c(O)c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,2omhmbl_c,52
6-hydroxymethyl dihydropterin,Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2,6hmhpt_c,14
"2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol",COc1cc(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,2ommbl_c,51
4-Hydroxy-benzyl alcohol,OCc1ccc(O)cc1,4hba_c,9
6-hydroxymethyl-dihydropterin pyrophosphate,Nc1nc(O)c2c(n1)NCC(COP(=O)(O)OP(=O)(O)O)=N2,6hmhptpp_c,22
4-Hydroxybenzoate,O=C(O)c1ccc(O)cc1,4hbz_c,10
2-Octaprenyl-6-methoxyphenol,COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,2omph_c,49
6-Phospho-D-gluconate,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,6pgc_c,17
2-Octaprenylphenol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O,2oph_c,47
2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol,C[C@@](CO)(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,2p4c2me_c,37
D-Glycerate 2-phosphate,O=C(O)C(CO)OP(=O)(O)O,2pg_c,11
"6-phospho-D-glucono-1,5-lactone",O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O,6pgl_c,16
4-Hydroxy-L-threonine,[NH3+][C@H](C(=O)[O-])[C@H](O)CO,4hthr_c,9
2-Phosphoglycolate,O=C(O)COP(=O)(O)O,2pglyc_c,9
8-Amino-7-oxononanoate,CC([NH3+])C(=O)CCCCCC(=O)[O-],8aonn_c,13
"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate",O=C(O)CCC(=O)C1=CC=C[C@@H](O)[C@@H]1C(=O)O,2shchc_c,17
4-Methyl-2-oxopentanoate,CC(C)CC(=O)C(=O)O,4mop_c,9
4-Methyl-5-(2-phosphoethyl)-thiazole,Cc1ncsc1CCOP(=O)(O)O,4mpetz_c,13
4-Phospho-L-aspartate,N[C@@H](CC(=O)OP(=O)(O)O)C(=O)O,4pasp_c,13
4-Phospho-D-erythronate,O=C([O-])[C@H](O)[C@H](O)COP(=O)([O-])[O-],4per_c,13
D-4'-Phosphopantothenate,CC(C)(COP(=O)([O-])O)[C@@H](O)C(=O)NCCC(=O)[O-],4ppan_c,19
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O[C@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)[C@@H]1O)[C@@H](O)C(=O)NCCC(=O)NCCS,2tpr3dpcoa_c,65
"3,4-Dihydroxyphenylacetaldehyde",O=CCc1ccc(O)c(O)c1,34dhpac_e,11
N-((R)-4-Phosphopantothenoyl)-L-cysteine,CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(=O)O,4ppcys_c,25
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,Nc1c(C(=O)[O-])[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,5aizc_c,22
5-Amino-4-oxopentanoate,[NH3+]CC(=O)CCC(=O)[O-],5aop_c,9
5-Amino-6-(5'-phosphoribitylamino)uracil,Nc1c(NC[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)[nH]c(=O)[nH]c1=O,5aprbu_c,23
3-(4-Hydroxyphenyl)pyruvate,O=C(O)C(=O)Cc1ccc(O)cc1,34hpp_c,13
3  AMP C10H12N5O7P,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]1O,3amp_e,23
5-Amino-6-(5'-phosphoribosylamino)uracil,Nc1c(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)[nH]c(=O)[nH]c1=O,5apru_c,23
L-alanine-D-glutamate,C[C@H](N)C(=O)N[C@H](CCC(=O)O)C(=O)O,LalaDglu_c,15
5-phosphoribosyl-5-carboxyaminoimidazole,O=C(O)Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,5caiz_c,22
3-Carboxy-2-hydroxy-4-methylpentanoate,CC(C)C(C(=O)[O-])C(O)C(=O)[O-],3c2hmp_c,12
3-Carboxy-3-hydroxy-4-methylpentanoate,CC(C)[C@@](O)(CC(=O)O)C(=O)O,3c3hmp_c,12
L-alanine-L-glutamate,C[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)O,LalaLglu_c,15
3-Carboxy-4-methyl-2-oxopentanoate,CC(C)[C@H](C(=O)O)C(=O)C(=O)O,3c4mop_c,12
5-Dehydro-D-gluconate,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,5dglcn_c,13
